project_name,Accuracy,F1,Precision,Recall
dubbo,0.892473118,0.943181818,0.917127072,0.970760234
Activiti,0.96,0.979591837,1,0.96
adyen-java-api-library,0.494382022,0,0,0
innodb-java-reader,1,1,1,1
wasp,1,1,1,1
alluxio,1,1,1,1
commons-collections,0.5,0.333333333,1,0.2
cxf,1,1,1,1
flink,0.970588235,0.98245614,1,0.965517241
hadoop,0.986577181,0.993103448,1,0.98630137
hbase,0.980769231,0.98989899,1,0.98
hive,0.976190476,0.987654321,1,0.975609756
incubator-shardingsphere,1,1,1,1
nifi,1,1,1,1
openwebbeans,1,1,1,1
ozone,1,1,1,1
shardingsphere-elasticjob,1,1,1,1
biojava,0.961538462,0.98,1,0.960784314
castle-java,1,1,1,1
openhtmltopdf,1,1,1,1
tyrus,1,1,1,1
jackson-databind,1,1,1,1
hsac-fitnesse-fixtures,0.736842105,0.705882353,1,0.545454545
flowable-engine,0.894736842,0.9375,1,0.882352941
average,0.931420736,0.90969176,0.954880295,0.892782517
